"muestreo","abundancia","temperatura","humedad","ph"
1,59,21.0391279226169,53.9990063337609,3.67108218790963
2,76,31.5544078443199,29.9541186285205,8.73651255504228
3,62,23.5885153580457,43.9751730300486,6.20956008182839
4,44,33.5433654841036,85.9026444749907,5.60520809073932
5,64,34.7498129701708,43.461215745192,4.81801339541562
6,46,15.9566864871886,80.1315199909732,8.16172578861006
7,37,26.0902152489871,82.2994368220679,4.54864305350929
8,67,33.740799932275,54.7861484088935,4.01767496485263
9,58,26.5801353037823,36.962079887744,3.19451664574444
10,63,24.5889094413724,13.238522184547,3.20520222466439
11,43,35.0935002523474,84.1769822943024,5.37429823866114
12,49,24.5200172800105,27.1106009976938,3.77075449959375
13,74,29.2289833445102,5.46485143946484,3.51378352730535
14,54,27.0253014410846,85.2954246033914,6.72063471656293
15,44,17.1614183359779,64.8536646086723,2.33364539197646
16,78,33.8963243784383,12.8064866038039,6.90597161231562
17,70,20.1678424214479,49.4356190459803,4.46322046918795
18,34,15.8832502041478,85.8682114700787,4.86260798550211
19,57,21.8863351049367,52.6935017807409,7.74665926769376
20,87,35.0445766320918,36.4059253572486,8.43200143706053
21,53,33.6803256373387,58.3104131394066,3.97769831074402
22,84,29.5488715292886,28.7838555383496,8.72773355594836
23,59,28.4506430891342,27.6948009780608,7.09876099787652
24,77,35.8796653090976,19.7790868137963,6.80462557403371
25,59,28.7698217814323,33.2539979252033,2.36990759940818
26,42,29.8791398315225,88.5797283123247,4.76654094248079
27,66,26.4253865189385,13.8782070740126,5.34491765894927
28,54,27.4769824293908,8.19395998958498,5.92177284578793
29,66,21.0723544831853,12.7716217003763,6.8878311640583
30,52,18.0893865935504,62.1006391360424,8.40978476894088
31,76,35.2235088832676,55.7330835051835,6.32845859159715
32,47,33.9482799475081,80.2254705433734,4.99895056127571
33,59,29.5048108468764,60.5699183349498,5.79456257051788
34,52,31.7048157714307,66.3369964133017,2.4093494201079
35,63,15.5168873746879,46.9022153201513,3.82599799940363
36,50,25.0337153929286,59.3854604708031,4.78006367315538
37,67,30.9276502879802,73.9624914131127,3.38421315676533
38,55,19.5445666525047,70.7653396530077,7.82349293981679
39,35,21.6818011603318,88.1839725631289,3.07021055975929
40,50,19.8641414924059,39.5488382619806,7.62392979417928
41,78,17.9988004700281,28.0531981866807,5.82778309588321
42,72,23.7054730521049,36.8527457350865,6.63622349407524
43,68,23.6882108522113,0.942040064837784,3.2018894571811
44,56,22.7457544694189,16.5464571607299,6.4313875187654
45,43,18.2013397025876,75.8456386998296,4.18308822740801
46,64,17.9149273324292,20.8045603847131,7.07188042486086
47,56,19.8937160884961,21.5189960086718,4.79257877264172
48,73,24.7852114553098,6.90220488002524,8.78549487795681
49,67,20.5854254476726,22.1151310228743,8.77178859431297
50,60,33.0143820222002,65.8921684976667,7.08691777312197
51,53,15.9624545001425,76.2707848590799,3.80051722517237
52,54,24.2862015583087,44.7774540376849,3.5525155426003
53,75,31.7774217585102,34.9118126858957,6.15131956175901
54,63,17.5598844594788,22.180409473367,3.87265002494678
55,94,26.779907658929,9.99868151731789,5.71749279205687
56,63,19.337159181945,35.0994991720654,7.49704169901088
57,52,17.6781646551099,51.4741782587953,3.17642567376606
58,61,30.8194651503582,19.5203486527316,4.83079426712357
59,70,33.7959525422193,40.0291201821528,5.30103394342586
60,77,22.8637182936072,19.6191601851024,8.07674764818512
61,69,28.9674190871883,45.2069606934674,8.4799556909129
62,58,16.9916538794059,31.8514114664868,8.17384291510098
63,52,23.0633623937611,58.4986642934382,6.71930789761245
64,57,20.7620565360412,33.7242560950108,8.65116885537282
65,72,32.1074408164714,31.9900842709467,5.61511425976641
66,50,24.418843169231,48.0319150909781,6.03563314909115
67,55,32.0113514140248,66.6300924355164,4.35431844135746
68,71,32.0601796999108,19.8992644040845,4.43127241986804
69,57,31.6811887433287,37.1471506753005,2.14017010387033
70,72,24.2364654396661,23.9118018164299,5.5196913194377
71,68,30.8439783314243,56.6975748119876,8.0973038955126
72,73,28.2136437627487,16.5445641707629,2.04410548764281
73,49,29.9138304283842,77.7279700292274,2.50439986796118
74,69,15.0131202398334,67.1911203721538,3.14947857498191
75,67,24.9816480560694,60.1456184755079,7.39233851991594
76,46,19.6224965883885,55.6216085935012,7.14629014069214
77,72,22.9761472921818,33.5014254203998,8.80312944971956
78,48,27.8681910687592,47.68521172693,5.26530663785525
79,37,22.3877560941037,78.7214108579792,2.52069159317762
80,42,17.3338439112995,52.3575089802034,6.54172687022947
81,46,20.1160089271143,75.5790988309309,7.31015218654647
82,53,29.0291673364118,28.1203348422423,2.9597425670363
83,53,23.770582373254,63.7461289996281,4.77609216235578
84,81,31.5521125146188,23.851602547802,3.57489730441011
85,50,17.1601575294044,53.4908874635585,2.40570992371067
86,67,24.1327475714497,43.3160820440389,4.77124881814234
87,74,35.6840965796728,23.8529458316043,2.45449809986167
88,60,33.7540734023787,50.8131391298957,3.58120503043756
89,39,33.6158502765466,82.18694007257,2.38240376370959
90,44,18.6761056557298,81.1686950549483,6.6919742769096
91,61,17.7446095228661,24.6749959350564,4.08419247833081
92,75,28.7151404258329,28.9334480767138,2.7050510761328
93,58,22.2138459174894,88.7076795939356,2.50332868052647
94,72,28.7919206873048,55.7993979169987,8.16308398148976
95,46,21.7278380922507,84.3582680239342,7.27973181451671
96,45,18.9415135046002,41.9879432092421,7.71624121326022
97,75,31.428180327639,36.61493339343,8.87498261569999
98,45,16.9654947209638,59.3307291786186,2.72519751475193
99,75,24.8023598729633,13.7111955159344,2.69329280545935
100,65,25.7416146579199,51.5580352395773,7.59182127821259
